// Monsters Additional Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
//道场
2003,ROPIRATE_SKEL,Ro大盗,RoSkeleton,25,1676,0,233,142,1,145,178,10,15,25,13,25,5,25,10,10,12,1,1,29,0x3885,200,1754,554,288,0,,,,,,,,,,,,,,,,,,,,,,,,,,
//3326,custom46,草泥马,Baphomet,99,6250000,0,3000,3000,4,13000,13000,50,100,100,350,200,100,350,30,15,15,2,8,81,0x37B5,150,250,450,1,10,,,,,,,1530,300,675,200,2410,300,2630,300,969,2000,27011,30,,,27018,400,27019,30,11125,5
//3359,custom79,猛虎奥珀威尔,Baphomet,50,6250000,0,3000,3000,4,13000,13000,50,100,100,350,200,100,350,30,15,15,2,8,81,0x37B5,150,250,450,1,10,,,,,,,1530,300,675,200,2410,300,2630,300,969,2000,27016,30,,,27018,400,27019,30,11126,5
//3338,custom58,猛狼迪斯,Baphomet,50,6250000,0,3000,3000,4,13000,13000,50,100,100,350,200,100,350,30,15,15,2,8,81,0x37B5,150,250,450,1,10,,,,,,,1530,300,675,200,2410,300,2630,300,969,2000,27013,30,,,27018,400,27019,30,11127,5
//3363,YGROXM01,霸王狼,Baphomet,50,6250000,0,3000,3000,4,13000,13000,50,100,100,350,200,100,350,30,15,15,2,8,81,0x37B5,150,250,450,1,10,,,,,,,1530,300,675,200,2410,300,2630,300,969,2000,27014,30,,,27018,400,27019,30,11128,5
//3335,custom55,蜘蛛精,Baphomet,50,6250000,0,3000,3000,4,10000,10000,50,100,100,350,200,100,350,30,15,15,2,8,81,0x37B5,150,250,450,1,10,,,,,,,1530,300,675,200,2410,300,2630,300,969,2000,27015,30,,,27018,400,27019,30,11129,5
//3330,custom50,雅典娜,Baphomet,50,12500000,0,3000,3000,4,15000,15000,60,100,100,400,200,150,450,30,15,15,2,8,81,0x37B5,150,200,350,1,10,,,,,,,1530,300,675,200,2410,300,2630,300,969,2000,27020,20,27017,20,27018,400,,,11130,5
//3331,custom51,小毛毛,Baphomet,50,12500000,0,3000,3000,4,15000,15000,60,100,100,400,200,150,450,30,15,15,2,8,81,0x37B5,150,200,350,1,10,,,,,,,1530,300,675,200,2410,300,2630,300,969,2000,27022,20,27017,20,27018,400,,,11131,5
//3333,custom53,暹罗,Baphomet,50,12500000,0,3000,3000,4,15000,15000,60,100,100,400,200,150,450,30,15,15,2,8,81,0x37B5,150,200,350,1,10,,,,,,,1530,300,675,200,2410,300,2630,300,969,2000,27024,20,27017,20,27018,400,,,11133,5
//3334,custom54,妖鬼王,Baphomet,50,12500000,0,3000,3000,4,15000,15000,60,100,100,400,200,150,450,30,15,15,2,8,81,0x37B5,150,200,350,1,10,,,,,,,1530,300,675,200,2410,300,2630,300,969,2000,27025,20,27017,20,27018,400,,,11134,5

3340,hd1,疯兔,Spring Rabbit,12,10,0,0,0,1,0,0,100,99,1,1,1,1,1,1,10,12,1,2,86,0xC3,160,1120,552,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27018,1,19004,20,0,0
3341,hd2,捣药小玉兔,Spring Rabbit,12,10,0,0,0,1,0,0,100,99,1,1,1,1,1,1,10,12,1,2,86,0xC3,160,1120,552,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27018,1,27018,1,27018,1,0,0
3342,hd3,可爱小玉兔,Spring Rabbit,12,10,0,0,0,1,0,0,100,99,1,1,1,1,1,1,10,12,1,2,86,0xC3,160,1120,552,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18113,10000,18113,10000,18113,10000,18113,10000,0,0
3343,hd4,蓝疯兔,Spring Rabbit,12,10,0,0,0,1,0,0,100,99,1,1,1,1,1,1,10,12,1,2,86,0xC3,160,1120,552,511,0,0,0,0,0,0,0,675,1000,675,1000,675,1000,675,1000,675,1000,675,1000,0,0,0,0,0,0,0,0
//中级
3590,bx1,俄塞里斯★,Osiris,78,5000000,0,71500,28600,4,3000,3000,50,50,100,350,800,150,350,100,15,15,1,1,89,0x37B5,150,250,450,350,35750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27011,30,19001,8,19005,1,27019,30,4144,20
3591,bx2,巴风特★,Baphomet,81,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,6,67,0x37B5,150,250,450,350,53625,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27016,30,19001,8,19005,1,27019,30,4147,20
3592,bx3,死灵★,Doppelganger,72,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,1,6,67,0x37B5,150,250,450,350,25740,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27013,30,19001,8,19005,1,27019,30,4142,20
3593,bx4,蜂后★,Mistress,74,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,0,4,84,0x37B5,150,250,450,350,19662,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27014,30,19001,8,19005,1,27019,30,4132,20
3594,bx5,黄金虫★,Golden Thief Bug,99,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,4,43,0x11AB,150,250,450,350,7150,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27015,30,19001,8,19005,1,27019,30,4128,1
3595,bx6,海盗之王★,Drake,70,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,1,1,29,0x37B5,150,250,450,350,14300,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27011,30,19001,8,19005,1,27019,30,4137,20
3596,bx7,虎王★,Eddga,65,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,2,23,0x37B5,150,250,450,350,12512,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27016,30,19001,8,19005,1,27019,30,4123,20
3597,bx8,幽灵波利★,Ghostring,99,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,1,6,80,0x37B5,150,250,450,350,0,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27013,30,19001,8,19005,1,27019,30,4047,1
3598,bx9,蚁后★,Maya,81,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,4,82,0x37B5,150,250,450,350,21450,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27014,30,19001,8,19005,1,27019,30,4146,20
3599,bx10,月夜猫★,Moonlight Flower,67,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,1,6,63,0x37B5,150,250,450,350,13750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27015,30,19001,8,19005,1,27019,30,4131,20
3600,bx11,法老王★,Pharaoh,93,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,7,67,0x37B5,150,250,450,350,57495,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27011,30,19001,8,19005,1,27019,30,4148,20
3601,bx12,皮里恩★,Phreeoni,69,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,2,60,0x37B5,150,250,450,350,16087,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27016,30,19001,8,19005,1,27019,30,4121,20
3602,bx13,兽人酋长★,Orc Lord,74,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,7,82,0x37B5,150,250,450,350,31102,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27013,30,19001,8,19005,1,27019,30,4135,20
3603,bx14,冰暴骑士★,Stormy Knight,77,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,0,84,0x37B5,150,250,450,350,32175,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27014,30,19001,8,19005,1,27019,30,4318,20
3604,bx15,卡仑★,Garm,73,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,2,81,0x37B5,150,250,450,350,25025,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27015,30,19001,8,19005,1,27019,30,4324,20
3605,bx16,黑暗之王★,Dark Lord,80,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,6,89,0x37B5,150,250,450,350,32890,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27011,30,19001,8,19005,1,27019,30,4168,20
3606,bx17,乌龟将军★,Turtle General,97,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,2,42,0x37B5,150,250,450,350,9101,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27016,30,19001,8,19005,1,27019,30,4305,20
3607,bx18,死灵骑士★,Lord of the Dead,94,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,6,67,0x37B5,150,250,450,350,65671,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27013,30,19001,8,19005,1,27019,30,,
3608,bx19,天使波利★,Angeling,20,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,1,8,80,0x37B5,150,250,450,350,32890,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27014,30,19001,8,19005,1,27019,30,4054,20
3609,bx20,德古拉男爵★,Dracula,85,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,6,80,0x37B5,150,250,450,350,60078,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27015,30,19001,8,19005,1,27019,30,4134,20
3610,bx21,墨蛇君★,Evil Snake Lord,73,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,2,80,0x37B5,150,250,450,350,17144,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27011,30,19001,8,19005,1,27019,30,4330,20
3611,bx22,元灵武士★,Samurai Specter,71,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,7,67,0x37B5,150,250,450,350,16547,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27016,30,19001,8,19005,1,27019,30,4263,1
3612,bx23,古埃及王★,Amon Ra,88,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,7,62,0x1A4,150,250,450,350,43632,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27013,30,19001,8,19005,1,27019,30,4236,20
3613,bx24,塔奥群卡★,Tao Gunka,99,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,6,60,0x37B5,150,250,450,350,29587,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27014,30,19001,8,19005,1,27019,30,4302,1
3614,bx25,RSX-0806★,RSX-0806,86,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,0,60,0x37B5,150,250,450,350,15505,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27015,30,19001,8,19005,1,27019,30,4342,20
3615,bx26,嗒妮小姐★,Lady Tanee,89,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,3,64,0x1A4,150,250,450,350,32497,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27011,30,19001,8,19005,1,27019,30,4376,20
3616,bx27,迪塔勒泰晤勒斯★,Detardeurus,90,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,9,67,0x37B5,150,250,450,350,145925,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27016,30,19001,8,19005,1,27019,30,4386,20
3617,bx28,堕落的大神官希巴姆★,Fallen Bishop Hibram,99,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,1,6,47,0x37B5,150,250,450,350,555555,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27013,30,19001,8,19005,1,27019,30,4441,1
3618,bx29,巴基力 兰特克力斯★,Valkyrie,99,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,8,80,0x37B5,150,250,450,350,0,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27014,30,19001,8,19005,1,27019,30,4407,1
3619,bx31,恶魔波利★,Deviling,31,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,1,6,80,0x37B5,150,250,450,350,0,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27015,30,19001,8,19005,1,27019,30,4174,20
3620,bx32,兽人英雄★,Orc Hero,77,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,7,42,0x37B5,150,250,450,350,29315,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27011,30,19001,8,19005,1,27019,30,4143,20
3621,bx33,贝思波★,Vesper,97,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,2,2,80,0x37B5,150,250,450,350,100000,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27016,30,19001,8,19005,1,27019,30,4374,20
3622,bx34,圣天使波利★,Arc Angeling,60,5000000,0,71500,28600,4,3000,3000,50,50,100,350,200,150,350,100,15,15,1,8,80,0x37B5,150,250,450,350,0,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27013,30,19001,8,19005,1,27019,30,4241,20
3623,bx35,白素贞★,Osiris,78,5000000,0,71500,28600,4,6000,6000,50,50,100,350,800,150,350,100,15,15,1,1,89,0x37B5,150,250,450,350,35750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,,,19001,8,19005,1,27019,30,4372,20
3624,bx36,阿特罗斯★,Osiris,78,5000000,0,71500,28600,4,6000,6000,50,50,100,350,800,150,350,100,15,15,1,1,89,0x37B5,150,250,450,350,35750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,,,19001,8,19005,1,27019,30,4425,20
3625,bx37,闇●剑士 赛尼亚★,Osiris,78,5000000,0,71500,28600,4,8000,8000,50,50,100,350,800,150,350,100,15,15,1,1,89,0x37B5,150,250,450,350,35750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,,,19001,8,19005,1,27019,30,4352,1
//3623,B_SEYREN,闇●骑士领主 赛依连,Lord Knight Seyren,99,50000000,0,4835600,1569970,1,12000,12000,72,37,120,110,81,65,130,52,10,12,1,7,83,0x37B5,100,76,384,288,0,,,,,,,1530,300,2410,300,2630,300,675,500,969,2000,969,2000,969,2000,969,2000,0,0,4357,1
//高级
2590,cx1,俄塞里斯★★,Osiris,78,15000000,0,71500,28600,1,8000,8000,10,60,100,500,200,200,600,100,10,12,1,1,89,0x37B5,150,200,450,350,35750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27020,14,27017,20,19006,1,19002,8,4144,20
2591,cx2,巴风特★★,Baphomet,81,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,6,67,0x37B5,150,250,450,350,53625,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27022,14,27017,20,19006,1,19002,8,4147,20
2592,cx3,死灵★★,Doppelganger,72,15000000,0,71500,28600,4,00000,00000,10,60,100,500,200,200,600,100,15,15,1,6,67,0x37B5,150,250,450,350,25740,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27023,14,27017,20,19006,1,19002,8,4142,20
2593,cx4,蜂后★★,Mistress,74,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,0,4,84,0x37B5,150,250,450,350,19662,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27024,14,27017,20,19006,1,19002,8,4132,20
2594,cx5,黄金虫★★,Golden Thief Bug,99,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,4,43,0x11AB,150,250,450,350,7150,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27025,14,27017,20,19006,1,19002,8,4128,1
2595,cx6,海盗之王★★,Drake,70,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,1,1,29,0x37B5,150,250,450,350,14300,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27020,14,27017,20,19006,1,19002,8,4137,20
2596,cx7,虎王★★,Eddga,65,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,2,23,0x37B5,150,250,450,350,12512,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27022,14,27017,20,19006,1,19002,8,4123,20
2597,cx8,幽灵波利★★,Ghostring,99,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,1,6,80,0x37B5,150,250,450,350,0,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27023,14,27017,20,19006,1,19002,8,4047,1
2598,cx9,蚁后★★,Maya,81,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,4,82,0x37B5,150,250,450,350,21600,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27024,14,27017,20,19006,1,19002,8,4146,20
2599,cx10,月夜猫★★,Moonlight,67,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,1,6,63,0x37B5,150,250,450,350,13750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27025,14,27017,20,19006,1,19002,8,4131,20
2600,cx11,法老王★★,Pharaoh,93,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,9,67,0x37B5,150,250,450,350,57495,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27020,14,27017,20,19006,1,19002,8,4148,20
2601,cx12,皮里恩★★,Phreeoni,69,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,2,60,0x37B5,150,250,450,350,16087,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27022,14,27017,20,19006,1,19002,8,4121,20
2602,cx13,兽人酋长★★,Orc Lord,74,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,7,82,0x37B5,150,250,450,350,31102,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27023,14,27017,20,19006,1,19002,8,4135,20
2603,cx14,冰暴骑士★★,Stormy,77,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,0,84,0x37B5,150,250,450,350,32175,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27024,14,27017,20,19006,1,19002,8,4318,20
2604,cx15,卡仑★★,Garm,73,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,2,81,0x37B5,150,250,450,350,25025,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27025,14,27017,20,19006,1,19002,8,4324,20
2605,cx16,黑暗之王★★,Dark Lord,80,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,6,89,0x37B5,150,250,450,350,32890,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27020,14,27017,20,19006,1,19002,8,4168,20
2606,cx17,乌龟将军★★,Turtle,97,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,2,42,0x37B5,150,250,450,350,9101,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27022,14,27017,20,19006,1,19002,8,4305,20
2607,cx18,死灵骑士★★,Lord of the,94,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,6,67,0x37B5,150,250,450,350,65671,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27023,14,27017,20,19006,1,19002,8,,
2608,cx19,天使波利★★,Angeling,20,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,1,8,80,0x37B5,150,250,450,350,32890,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27024,14,27017,20,19006,1,19002,8,4054,20
2609,cx20,德古拉男爵★★,Dracula,85,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,6,80,0x37B5,150,250,450,350,60078,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27025,14,27017,20,19006,1,19002,8,4134,20
2610,cx21,墨蛇君★★,Evil Snake,73,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,2,80,0x37B5,150,250,450,350,17144,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27020,14,27017,20,19006,1,19002,8,4330,20
2611,cx22,元灵武士★★,Samurai,71,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,9,67,0x37B5,150,250,450,350,16547,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27022,14,27017,20,19006,1,19002,8,4263,1
2612,cx23,古埃及王★★,Amon Ra,88,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,7,62,0x1A4,150,250,450,350,43632,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27023,14,27017,20,19006,1,19002,8,4236,20
2613,cx24,塔奥群卡★★,Tao Gunka,99,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,6,60,0x37B5,150,250,450,350,29587,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27024,14,27017,20,19006,1,19002,8,4302,1
2614,cx25,RSX-0806★★,RSX-0806,86,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,0,60,0x37B5,150,250,450,350,15505,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27025,14,27017,20,19006,1,19002,8,4342,20
2615,cx26,嗒妮小姐★★,Lady Tanee,89,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,3,64,0x1A4,150,250,450,350,32497,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27020,14,27017,20,19006,1,19002,8,4376,20
2616,cx27,迪塔勒泰晤勒斯★★,Detar,90,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,9,67,0x37B5,150,250,450,350,145925,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27022,14,27017,20,19006,1,19002,8,4386,20
2617,cx28,堕落的大神官★★,Fallen,99,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,1,6,47,0x37B5,150,250,450,350,555555,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27023,14,27017,20,19006,1,19002,8,4441,1
2618,cx29,巴基力 兰特克力斯★★,Valkyrie,99,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,8,80,0x37B5,150,250,450,350,0,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27024,14,27017,20,19006,1,19002,8,4407,1
2619,cx31,恶魔波利★★,Deviling,31,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,1,6,80,0x37B5,150,250,450,350,0,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27025,14,27017,20,19006,1,19002,8,4174,20
2620,cx32,兽人英雄★★,Orc Hero,77,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,7,42,0x37B5,150,250,450,350,29315,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27020,14,27017,20,19006,1,19002,8,4143,20
2621,cx33,贝思波★★,Vesper,97,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,2,2,80,0x37B5,150,250,450,350,100000,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27022,14,27017,20,19006,1,19002,8,4374,20
2622,cx34,圣天使波利★★,Arc Angeling,60,15000000,0,71500,28600,4,8000,8000,10,60,100,500,200,200,600,100,15,15,1,8,80,0x37B5,150,250,450,350,0,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27023,14,27017,20,19006,1,19002,8,4241,20
2623,cx25,白素贞★★,Osiris,78,15000000,0,71500,28600,1,10000,10000,10,60,100,500,200,200,600,100,10,12,1,1,89,0x37B5,150,200,450,350,35750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,,,27017,20,19006,1,19002,8,4372,20
2624,cx36,阿特罗斯★★,Osiris,78,15000000,0,71500,28600,1,10000,10000,10,60,100,500,200,200,600,100,10,12,1,1,89,0x37B5,150,200,450,350,35750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,,,27017,20,19006,1,19002,8,4425,20
2625,cx37,闇●剑士 赛尼亚★★,Osiris,78,15000000,0,71500,28600,1,13000,13000,10,60,100,600,200,200,600,100,10,12,1,1,89,0x37B5,150,200,450,350,35750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,,,27017,20,19006,1,19002,8,4352,1
//究极
2490,dx1,俄塞里斯★★★,Osiris,78,30000000,0,71500,28600,4,18000,18000,10,80,100,700,200,500,800,100,15,15,1,1,89,0x37B5,150,200,450,350,35750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27001,14,27008,20,19007,1,19003,8,4144,20
2491,dx2,巴风特★★★,Baphomet,81,30000000,0,71500,28600,4,18000,18000,10,80,100,700,200,500,800,100,15,15,2,6,67,0x37B5,150,250,450,350,53625,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27003,14,27008,20,19007,1,19003,8,4147,20
2492,dx3,死灵★★★,Doppelganger,72,30000000,0,71500,28600,4,18000,18000,10,80,100,700,200,500,800,100,15,15,1,6,67,0x37B5,150,250,450,350,25740,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27004,14,27008,20,19007,1,19003,8,4142,20
2493,dx4,蜂后★★★,Mistress,74,30000000,0,71500,28600,4,18000,18000,10,80,100,700,200,500,800,100,15,15,0,4,84,0x37B5,150,250,450,350,19662,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27005,14,27008,20,19007,1,19003,8,4132,20
2494,dx5,黄金虫★★★,Golden Thief,99,30000000,0,71500,28600,4,18000,18000,10,80,100,700,200,500,800,100,15,15,2,4,43,0x11AB,150,250,450,350,7150,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27006,14,27008,20,19007,1,19003,8,4128,1
2495,dx6,海盗之王★★★,Drake,70,30000000,0,71500,28600,4,18000,18000,10,80,100,700,200,500,800,100,15,15,1,1,29,0x37B5,150,250,450,350,14300,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27001,14,27008,20,19007,1,19003,8,4137,20
2496,dx7,虎王★★★,Eddga,65,30000000,0,71500,28600,4,18000,18000,10,80,100,700,200,500,800,100,15,15,2,2,23,0x37B5,150,250,450,350,12512,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27003,14,27008,20,19007,1,19003,8,4123,20
2497,dx8,幽灵波利★★★,Ghostring,99,30000000,0,71500,28600,4,18000,18000,10,80,100,700,200,500,800,100,15,15,1,6,80,0x37B5,150,250,450,350,0,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27004,14,27008,20,19007,1,19003,8,4047,1
2498,dx9,蚁后★★★,Maya,81,30000000,0,71500,28600,4,18000,18000,10,80,100,700,200,500,800,100,15,15,2,4,82,0x37B5,150,250,450,350,21450,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27005,14,27008,20,19007,1,19003,8,4146,20
2499,dx10,月夜猫★★★,Moonlight,67,30000000,0,71500,28600,4,18000,18000,10,80,100,700,200,500,800,100,15,15,1,6,63,0x37B5,150,250,450,350,13750,,,,,,,1530,200,675,200,2410,200,2630,200,969,2000,27006,14,27008,20,19007,1,19003,8,4131,20
